plotID;species;biomass
EB 4-2-2;Taraxacum officinale;10,01
EB 2-2-2;Vicia sepium;2,58
EB 3-1-1;Anthoxanthum odoratum;2,43
EB 1-9-1;Lolium perenne;24,8444
EB 2-3-4;Festuca rubra;19,7644
EB 1-7-2;Elymus repens;17,5844
EB 1-6-2;Elymus repens;18,4644
EB 3-5-3;Festuca pratensis;19,3944
EB 2-8-2;Elymus repens;27,8844
EB 1-8-2;Elymus repens;33,2044
EB 2-3-1;Elymus repens;12,2944
EB 2-3-1;Poa pratensis;11,9744
EB 2-3-4;Festuca pratensis;16,6644
EB 1-5-1;Elymus repens;27,7944
EB 2-8-3;Lolium perenne;24,3844
EB 1-6-1;Elymus repens;26,5644
EB 3-5-3;Agrostis capillaris;11,0844
EB 3-3-2;Agrostis stolonifera;11,4044
EB 2-3-4;Phleum pratense;22,2844
EB 1-8-2;Vicia sepium;10,9244
EB 1-4-2;Elymus repens;50,4244
EB 1-3-3;Festuca pratensis;21,0144
EB 1-3-1;Trisetum flavescens;11,9163
EB 2-3-1;Equisetum arvense;3,0963
EB 2-1-3;Elymus repens;9,8463
EB 3-3-2;Festuca pratensis;3,0463
EB 3-3-3;Carex spec;9,7763
EB 3-5-3;Alchemilla vulgaris;9,4463
EB 2-8-3;Dactylis glomerata;9,0663
EB 1-8-2;Lolium perenne;2,8463
EB 2-2-2;Leontodon helveticus;8,7763
EB 2-4-4;Chaerophyllum hirsutum;8,4563
EB 1-4-2;Festuca pratensis;8,3063
EB 3-5-3;Trisetum flavescens;2,5963
EB 3-3-3;Alchemilla vulgaris;8,0563
EB 1-8-2;Equisetum arvense;8,0363
EB 3-6-2;Rhinanthus serotinus;7,9163
EB 2-2-2;Agrostis stolonifera;7,8863
EB 2-7-3;Alchemilla vulgaris;7,8063
EB 1-3-1;Festuca rubra;7,7463
EB 2-7-3;Chaerophyllum hirsutum;7,5463
EB 2-6-2;Alchemilla vulgaris;16,7363
EB 2-2-1;Alchemilla vulgaris;6,1663
EB 2-7-3;Festuca pratensis;7,1663
EB 2-3-1;Festuca rubra;7,1263
EB 2-4-4;Elymus repens;7,0763
EB 2-2-2;Festuca rubra;7,0563
EB 3-3-2;Alchemilla vulgaris;7,0463
EB 4-4-3;Leontodon helveticus;26,3163
EB 2-8-3;Alchemilla vulgaris;4,4863
EB 4-3-3;Festuca rubra;2,2663
EB 2-9-2;Alchemilla vulgaris;25,0363
EB 1-6-1;Vicia sepium;6,0363
EB 2-3-1;Vicia sepium;6,0063
EB 1-3-1;Elymus repens;20,2363
EB 2-8-2;Veronica chamaedrys;5,7663
EB 1-3-2;Festuca pratensis;19,0063
EB 1-9-3;Alchemilla vulgaris;11,5763
EB 3-3-2;Veronica chamaedrys;5,2463
EB 4-1-3;Arrhenatherum elatius;16,9563
EB 3-1-2;Glechoma hederacea;11,2163
EB 2-3-1;Agrostis capillaris;11,0363
EB 1-5-1;Vicia sepium;3,3563
EB 1-7-4;Trisetum flavescens;15,9263
EB 3-6-2;Alchemilla vulgaris;4,6063
EB 2-4-4;Helictotrichon pubescens;4,5863
EB 1-9-3;Festuca rubra;10,0563
EB 2-3-2;Poa pratensis;14,8063
EB 1-4-2;Ranunculus acris;4,3163
EB 3-6-2;Leontodon helveticus;4,2963
EB 1-1-3;Dactylis glomerata;4,2263
EB 4-2-1;Leontodon helveticus;4,0863
EB 2-3-1;Glechoma hederacea;1,5363
EB 4-1-3;Festuca rubra;13,3463
EB 1-7-4;Festuca pratensis;13,1263
EB 1-1-3;Elymus repens;12,7763
EB 3-1-1;Glechoma hederacea;12,4663
EB 4-1-1;Plantago lanceolata;1,4263
EB 1-1-3;Lathyrus pratensis;3,7163
EB 3-6-2;Rumex acetosa;12,1463
EB 2-7-3;Leontodon helveticus;11,9463
EB 1-1-3;Trisetum flavescens;11,8363
EB 2-4-4;Alchemilla vulgaris;11,8063
EB 2-2-1;Lolium perenne;3,1063
EB 1-6-1;Trisetum flavescens;11,0063
EB 1-6-1;Taraxacum officinale;3,2563
EB 3-5-3;Rumex acetosa;3,1963
EB 1-2-1;Lolium perenne;10,2863
EB 2-2-1;Elymus repens;10,2363
EB 1-4-2;Agrostis stolonifera;0,8163
EB 1-9-1;Helictotrichon pubescens;9,9363
EB 3-6-2;Agrostis capillaris;2,2563
EB 3-7-2;Ranunculus acris;3,0063
EB 1-7-4;Chaerophyllum hirsutum;6,4763
EB 3-6-2;Cynosurus cristatus;1,0863
EB 1-4-2;Taraxacum officinale;3,8263
EB 3-6-2;Trisetum flavescens;1,9563
