species;plotID;80;86;94;100;106;115;125;128;135;142;150;157;164;169;176;183;189
Achillea millefolium;FE 3-5-1;;;;;;;;;;;;;;;;;
Agrostis capillaris;FE 3-5-1;;;;;;;;;;;;;;;2;1;
Agrostis gigantea;FE 3-5-1;;;;;;;;;;;;;;;;;
Agrostis stolonifera;FE 3-5-1;;;;;;;;;;;;;;;;;
Ajuga reptans;FE 3-5-1;;;;;;;;;;;;;;;;;
Alchemilla monticula;FE 3-5-1;;;;;;;;;;;;;;;;;
Alchemilla vulgaris;FE 3-5-1;;;;;;;;;;;;;;;;;
Alopecurus pratensis;FE 3-5-1;;;;;;;;;;;;;;;;;
Anthoxanthum odoratum;FE 3-5-1;;;;;;;;;;;;;;;;;
Arabidopsis thaliana;FE 3-5-1;;;;;;;;;;;;;;;;;
Arrhenatherum elatius;FE 3-5-1;;;;;;;;;;;;;;;;;
Bellis perennis;FE 3-5-1;;;;;;;;;;;;;;;;;
Bistorta officianilis;FE 3-5-1;;;;;;;;;;;;;;;;;
Briza media;FE 3-5-1;;;;;;;;;;;;;;;;;
Cardamine amara;FE 3-5-1;;;;;;;;;;;;;;;;;
Cardamine hirsuta;FE 3-5-1;;;;;;;;;;;;;;;;;
Carex humilis;FE 3-5-1;;;;;;;;;;;;;;;;;
Carex montana;FE 3-5-1;;;;;;;;;;;;;;;;;
Carex spicata cf;FE 3-5-1;;;;;;;;;;;;;;;;;
Carex sylvatica;FE 3-5-1;;;;;;;;;;;;;;;;;
Carum carvi;FE 3-5-1;;;;;;;;;;;;;;;;;
Centaurea jacea;FE 3-5-1;;;;;;;;;;;;;;;;;
Cerastium holosteoides;FE 3-5-1;;;;;;;;;;;;;;;;;
Chaerophyllum temulum;FE 3-5-1;;;;;;;;;;;;;;;;;
Crepis aurea;FE 3-5-1;;;;;;;;;;;;;;;;;
Crepis biennis;FE 3-5-1;;;;;;;;;;;;;;;;;
Crocus albiflorus;FE 3-5-1;;;;;;;;;;;;;;;;;
Cynosurus cristatus;FE 3-5-1;;;;;;;;;;;;;;;;;
Dactylis glomerata;FE 3-5-1;;;;;;;;;;;;;;;;;
Daucus carota;FE 3-5-1;;;;;;;;;;;;;;;;;
Deschampsia flexuosa;FE 3-5-1;;;;;;;;;;;;;;;;;
Draba verna;FE 3-5-1;;;;;;;;;;;;;;;;;
Elymus caninus;FE 3-5-1;;;;;;;;;;;;;;;;;
Elymus repens;FE 3-5-1;;;;;;;;;;;;;;;;;
Equisetum arvense;FE 3-5-1;;;;;;;;;;;;;;;;;
Euphrasia stricta;FE 3-5-1;;;;;;;;;;;;;;;;;
Festuca pratensis;FE 3-5-1;;;;;;;;;;;;;;;;;
Festuca rubra;FE 3-5-1;;;;;;;;;;;;;;;;;
Filipendula ulmaria;FE 3-5-1;;;;;;;;;;;;;;;;;
Galium album;FE 3-5-1;;;;;;;;;;;;;;;;;
Geranium rotundifolium;FE 3-5-1;;;;;;;;;;;;;;;;;
Geum rivale;FE 3-5-1;;;;;;;;;;;;;;;;;
Geum urbanum;FE 3-5-1;;;;;;;;;;;;;;;;;
Glechoma hederacea;FE 3-5-1;;;;;;;;;;;;3;;;;;
Helictotrichon pubescens;FE 3-5-1;;;;;;;;;;;;;;;;;
Heracleum sphondylium;FE 3-5-1;;;;;;;;;;;;;;;;;
Hieracium aurantiacum;FE 3-5-1;;;;;;;;;;;;;;;;;
Hieracium Macranthum;FE 3-5-1;;;;;;;;;;;;;;;;;
Hieracium pilosella ;FE 3-5-1;;;;;;;;;;;;;;;;;
Holcus lanatus;FE 3-5-1;;;;;;;;;;;;;;;;;
Hypochaeris radicata;FE 3-5-1;;;;;;;;;;;;;;;;;
Knautia arvensis;FE 3-5-1;;;;;;;;;;;;;;;;;
Lamium purpureum;FE 3-5-1;;;;;;;;;;;;;;;;;
Lathyrus pratensis;FE 3-5-1;;;;;;;;;;;;;;;;;
Leontodon autumnalis;FE 3-5-1;;;;;;;;;;;;;;;;;
Leontodon helveticus;FE 3-5-1;;;;;;;;;;;;;;;;;
Leontodon hispidus;FE 3-5-1;;;;;;;;;;;;;;;;;
Leucanthemum ircutianum;FE 3-5-1;;;;;;;;;;;;;;;;;
Lolium multiflorum;FE 3-5-1;;;;;;;;;;;;;;;;;
Lolium perenne;FE 3-5-1;;;;;;;;;;;1;1;1;;;;
Lotus corniculatus;FE 3-5-1;;;;;;;;;;;;;;;;;
Luzula campestris;FE 3-5-1;;;;;;;;;;;;;;;;;
Lychnis flos-cuculi;FE 3-5-1;;;;;;;;;;;;;;;;;
Myosotis alpestris;FE 3-5-1;;;;;;;;;;;;;;;;;
Peucedanum oreoselinum;FE 3-5-1;;;;;;;;;;;;;;;;;
Phleum pratense;FE 3-5-1;;;;;;;;;;;;;;;;;
